owner_no,owner_name,description,manufacturer_code,price,
2,Screfix,Makita  2.3kg 18V Li-Ion LXT  Cordless Compact SDS Plus Drill - Bare,DHR165ZJ,149.99,
2,Screfix,Makita  2kg 10.8 / 12V Li-Ion CXT Brushless Cordless SDS Hammer Drill - Bare,HR166DZ,129.99,
2,Screfix,Makita  1.6kg 10.8V Li-Ion CXT  Cordless SDS Plus Drill - Bare,HR140DZ,94.99,
2,Screfix,Makita  2.4kg 10.8-12V 4.0Ah Li-Ion CXT Brushless Cordless SDS Plus Drill,HR166DSMJ,229.99,
2,Screfix,Makita  18V 4.0Ah Li-Ion LXT  Cordless Combi Drill & 101 Accessories,DHP453SMWX,149.99,
2,Screfix,Makita  18V Li-Ion LXT Brushless Cordless Combi Drill - Bare,DHP481Z,169.99,
2,Screfix,Makita  18V 3.0Ah Li-Ion LXT  Cordless Combi Drill,DHP453SFE,169.99,
2,Screfix,Makita  18V 3.0Ah Li-Ion LXT Brushless Cordless Combi Drill,DHP485SFE,199.99,
2,Screfix,Makita  18V 5.0Ah Li-Ion  Brushless Cordless Combi Drill,DHP481RTJ,319.99,
2,Screfix,Makita  18V 4.0Ah Li-Ion LXT Brushless Cordless Combi Drill,DHP485SME,249.99,
2,Screfix,Makita  18V 3.0Ah Li-Ion LXT  Cordless Combi Drill,DHP453SFEW,159.99,
2,Screfix,Makita  18V Li-Ion LXT  Cordless Combi Drill - Bare,DHP482Z,94.99,
2,Screfix,Makita  18V Li-Ion LXT Brushless Cordless Combi Drill - Bare,DHP485Z,139.99,
2,Screfix,Makita  18V Li-Ion LXT  Cordless Combi Drill - Bare,DHP453Z,79.99,
2,Screfix,Makita  18V 3.0Ah Li-Ion LXT  Cordless Combi Drill,DHP453RFW,139.99,
2,Screfix,Makita  18V 4.0Ah Li-Ion LXT  Cordless Combi Drill,DHP453SME,199.99,
2,Screfix,Makita  12V 2.0Ah Li-Ion CXT  Cordless Combi Drill,HP333DWAE,129.99,
2,Screfix,Makita  12V Li-Ion CXT  Cordless Combi Drill - Bare,HP333DZ,39.99,
2,Screfix,Makita  10.8V Li-Ion CXT Brushless Cordless Combi Drill - Bare,HP332DZ,99.99,
2,Screfix,Makita  10.8V 2.0Ah Li-Ion CXT Brushless Cordless Combi Drill,HP332DSAJ,199.99,
2,Screfix,Makita  18V Li-Ion LXT Brushless Cordless Drill Driver - Bare,DDF485Z,99.99,
2,Screfix,Makita  18V Li-Ion LXT  Cordless Drill Driver - Bare,DDF482Z,89.99,
2,Screfix,Makita  12V 2.0Ah Li-Ion CXT  Cordless Drill Driver,DF333DWAE,119.99,
2,Screfix,Makita  12V Li-Ion CXT  Cordless Drill Driver - Bare,DF333DZ,34.99,
2,Screfix,Makita  10.8V Li-Ion CXT Brushless Cordless Â¼'' Hex Chuck Drill Driver - Bare,DF032DZ,89.99,
2,Screfix,Makita  10.8V Li-Ion CXT Brushless Cordless Drill Driver - Bare,DF332DZ,89.99,
2,Screfix,DeWalt  1300W  Electric Silver Bullet Diamond Core Drill 230V,D21570K-GB,229.99,
2,Screfix,DeWalt 1300W  Electric Silver Bullet Diamond Core Drill 110V, D21570K-LX,229.99,
2,Screfix,Marcrist 110V UK 1900W  Electric Diamond Core Drill 110V,DDM150-1S,299.99,
2,Screfix,Marcrist 230V UK 1900W  Electric Diamond Core Drill 230V,DDM150-1S,299.99,
2,Screfix,Makita  165mm 18V Li-Ion LXT Brushless Cordless Circular Saw - Bare,DHS680Z,159.99,
2,Screfix,Makita  165mm 18V Li-Ion LXT  Cordless Circular Saw - Bare,DSS611Z,99.99,
2,Screfix,Makita  1050W 165mm  Electric Circular Saw 240V,HS6601,79.99,
2,Screfix,Makita  136mm 18V Li-Ion   Cordless Compact Circular Saw - Bare,DSS501Z,119.99,
2,Screfix,Makita  136mm 18V Li-Ion LXT  Cordless Circular Saw - Bare,DCS552Z,119.99,
2,Screfix,Makita  165mm 18V Li-Ion   Cordless Circular Saw - Bare,DSS610Z,139.99,
2,Screfix,Makita  85mm 12V 2.0Ah Li-Ion CXT  Cordless Circular Saw,HS301DWAE,169.99,
2,Screfix,Makita  85mm 12V Li-Ion CXT  Cordless Circular Saw - Bare,HS301DZ,84.99,
2,Screfix,Makita  150mm 18V Li-Ion LXT Brushless Cordless Circular Saw - Bare,DCS553ZJ,229.99,
2,Screfix,Makita  1050W 190mm  Electric Circular Saw 240V,M5802,89.99,
2,Screfix,Makita  165mm 18V 4.0Ah Li-Ion LXT  Cordless Circular Saw,DSS610RMJ,349.99,
2,Screfix,DeWalt  18V Li-Ion XR  Cordless Jigsaw - Bare,DCS331N,109.99,
2,Screfix,Erbauer  750W  Electric Jigsaw 220-240V,EJS750,49.99,
2,Screfix,Makita  18V Li-Ion LXT  Cordless Jigsaw - Bare,DJV180Z,139.99,
2,Screfix,DeWalt  701W  Electric Jigsaw 240V,DW331K-GB,149.99,
2,Screfix,DeWalt  18V Li-Ion XR Brushless Cordless Jigsaw - Bare,DCS334N-XJ,169.99,
2,Screfix,Mac Allister  600W  Electric Jigsaw 220-240V,MSJS600,24.99,
2,Screfix,Makita  18V Li-Ion LXT Brushless Cordless Jigsaw - Bare,DJV182Z,179.99,
2,Screfix,Makita  18V Li-Ion LXT Brushless Cordless Jigsaw - Bare,DJV181Z,199.99,
2,Screfix,Makita  10.8V 2.0Ah Li-Ion CXT  Cordless Jigsaw,JV101DWAE,149.99,
2,Screfix,Makita  10.8V Li-Ion CXT  Cordless Jigsaw - Bare,JV101DZ,64.99,
2,Screfix,Hitachi  18V Li-Ion   Cordless Jigsaw - Bare,CJ18DGL,89.99,
2,Screfix,Bosch  12V Li-Ion   Cordless Jigsaw - Bare,GST12VLIN,74.49,
2,Screfix,DeWalt  701W  Electric Jigsaw 110V,DW331K-LX,149.99,
2,Screfix,Makita  190mm Twin 18V Li-Ion LXT Brushless Cordless Single-Bevel Sliding Compound Mitre Saw - Bare,DLS714NZ,499.99,
